objId,ra,dec,mag,sed_name,redshift
614456326012171292,53.191916,-27.3765108,25.1086324,agnSED/agn.spec.gz,3.73
614456326012172316,53.1921337,-27.3762966,25.9148774,agnSED/agn.spec.gz,3.73
614456326012173340,53.1919187,-27.3764134,25.4771495,agnSED/agn.spec.gz,3.73
614417223426351132,53.2028467,-27.3738453,28.3747357,agnSED/agn.spec.gz,1.84
614417223426352156,53.2026807,-27.3735351,29.7345978,agnSED/agn.spec.gz,1.84
614442099169304604,53.1838664,-27.3794493,26.2877711,agnSED/agn.spec.gz,0.74
614442099169305628,53.1832899,-27.3789196,24.6734765,agnSED/agn.spec.gz,0.74
614442482228723740,53.1850821,-27.3752599,29.6492001,agnSED/agn.spec.gz,2.02
614442482228724764,53.184938,-27.3751688,29.0854909,agnSED/agn.spec.gz,2.02
614578336381415452,53.1969834,-27.3623492,28.8479587,agnSED/agn.spec.gz,1.96
614578336381416476,53.1971821,-27.3623477,29.5950606,agnSED/agn.spec.gz,1.96
614578336381417500,53.1971729,-27.3621896,28.3393234,agnSED/agn.spec.gz,1.96
614578336381418524,53.1970779,-27.3621787,28.5757439,agnSED/agn.spec.gz,1.96
614501388104364060,53.1932482,-27.364775,31.0145386,agnSED/agn.spec.gz,3.61
614501388104365084,53.192895,-27.3644621,29.1586491,agnSED/agn.spec.gz,3.61
614501388104366108,53.193165,-27.3643543,31.3263484,agnSED/agn.spec.gz,3.61
614501388104367132,53.1929036,-27.3644068,28.9431478,agnSED/agn.spec.gz,3.61
614407677903212572,53.0150337,-27.4682698,29.1436717,agnSED/agn.spec.gz,1.93
614407677903213596,53.0149484,-27.4679686,30.0588565,agnSED/agn.spec.gz,1.93
614410312235581468,53.0399475,-27.4563974,26.5231295,agnSED/agn.spec.gz,1.8
614410312235582492,53.0396426,-27.456373,28.2862878,agnSED/agn.spec.gz,1.8
614410312235583516,53.039831,-27.4566203,25.0026258,agnSED/agn.spec.gz,1.8
614410312235584540,53.0398733,-27.4565913,24.9480161,agnSED/agn.spec.gz,1.8
614577900473200668,53.1041781,-27.4651095,27.5526637,agnSED/agn.spec.gz,3.07
614577900473201692,53.1048249,-27.4651252,29.388874,agnSED/agn.spec.gz,3.07
614409998664839196,53.0994886,-27.4359418,27.6349319,agnSED/agn.spec.gz,1.04
614409998664840220,53.0997367,-27.4359141,27.6927123,agnSED/agn.spec.gz,1.04
614421318513856540,53.087989,-27.4474126,27.9694612,agnSED/agn.spec.gz,1.03
614421318513857564,53.0880638,-27.4472584,28.4402305,agnSED/agn.spec.gz,1.03
614434742838743068,53.0815773,-27.4591955,27.5822771,agnSED/agn.spec.gz,5.49
614434742838744092,53.0821493,-27.4592168,27.3022415,agnSED/agn.spec.gz,5.49
614434742838745116,53.0816168,-27.4585647,27.6715349,agnSED/agn.spec.gz,5.49
614434742838746140,53.0822466,-27.4586841,27.5290504,agnSED/agn.spec.gz,5.49
614401556418932764,53.071393,-27.4461579,26.391429,agnSED/agn.spec.gz,0.61
614401556418933788,53.071477,-27.4458105,28.3223772,agnSED/agn.spec.gz,0.61
614561051556130844,53.2045732,-27.4100539,23.1214161,agnSED/agn.spec.gz,1.49
614561051556131868,53.2048837,-27.4100412,24.1685028,agnSED/agn.spec.gz,1.49
614442656351014940,53.1305527,-27.4587657,28.1850361,agnSED/agn.spec.gz,3.01
614442656351015964,53.1310163,-27.4587837,28.1005644,agnSED/agn.spec.gz,3.01
614498033962999836,53.1486103,-27.461366,28.7292501,agnSED/agn.spec.gz,2.57
614498033963000860,53.1480384,-27.461193,28.0051554,agnSED/agn.spec.gz,2.57
614489609810464796,53.1910052,-27.433346,28.1306088,agnSED/agn.spec.gz,1.16
614489609810465820,53.1907728,-27.4330184,26.8808356,agnSED/agn.spec.gz,1.16
614402050949218332,53.1417806,-27.4339684,25.5780723,agnSED/agn.spec.gz,0.48
614402050949219356,53.1412971,-27.4335783,28.0438787,agnSED/agn.spec.gz,0.48
614578380954218524,53.1094366,-27.4302781,29.234239,agnSED/agn.spec.gz,2.86
614578380954219548,53.1098562,-27.4304873,30.0348447,agnSED/agn.spec.gz,2.86
614483837205147676,53.1651745,-27.396258,30.6383712,agnSED/agn.spec.gz,2.6
614483837205148700,53.1649646,-27.3960529,30.2717779,agnSED/agn.spec.gz,2.6
614467091304398876,53.1628415,-27.3904378,28.8853993,agnSED/agn.spec.gz,1.52
614467091304399900,53.1626003,-27.3903736,27.2387402,agnSED/agn.spec.gz,1.52
614521225310351388,53.181507,-27.3905815,25.9249311,agnSED/agn.spec.gz,1.51
614521225310352412,53.1812947,-27.3903296,25.5519789,agnSED/agn.spec.gz,1.51
614521225310353436,53.1816946,-27.3902885,25.2816271,agnSED/agn.spec.gz,1.51
614521225310354460,53.1815033,-27.3901145,25.4300095,agnSED/agn.spec.gz,1.51
614506573008343068,53.1252469,-27.4228378,29.2956296,agnSED/agn.spec.gz,5.49
614506573008344092,53.1258189,-27.4228592,28.9989757,agnSED/agn.spec.gz,5.49
614506573008345116,53.1252864,-27.422207,29.3972758,agnSED/agn.spec.gz,5.49
614506573008346140,53.1259162,-27.4223264,28.9776876,agnSED/agn.spec.gz,5.49
614578283848429596,52.8932778,-27.6428104,30.3557909,agnSED/agn.spec.gz,2.12
614578283848430620,52.8931661,-27.6425057,29.3039333,agnSED/agn.spec.gz,2.12
614428996108410908,52.8820381,-27.6426998,29.9854107,agnSED/agn.spec.gz,2.34
614428996108411932,52.8822349,-27.6425717,30.0424469,agnSED/agn.spec.gz,2.34
614453589146030108,52.8746993,-27.6428402,27.6234946,agnSED/agn.spec.gz,3.42
614453589146031132,52.8746981,-27.6425058,28.4740917,agnSED/agn.spec.gz,3.42
614454184530063388,52.8866827,-27.635349,27.3718179,agnSED/agn.spec.gz,1.36
614454184530064412,52.886422,-27.6360751,26.7809652,agnSED/agn.spec.gz,1.36
